Height,Weight,Label
175.8,75.0,Fit
159.5,32.3,Fit
152.0,44.2,Fit
154.4,51.5,Fit
157.0,53.2,Fit
188.4,98.1,Obese
156.0,50.8,Fit
174.2,74.7,Fit
155.1,67.4,Obese
175.2,72.9,Fit
169.2,57.6,Fit
163.3,48.4,Fit
164.6,65.5,Fit
157.8,67.9,Obese
169.9,67.9,Fit
160.0,66.2,Obese
151.5,71.2,Obese
150.9,56.8,Fit
166.9,52.5,Fit
182.4,73.6,Fit
166.8,72.1,Obese
163.7,57.0,Fit
168.1,74.2,Obese
179.4,70.2,Fit
167.4,64.3,Fit
160.5,53.9,Fit
177.2,70.3,Fit
169.7,65.1,Fit
181.9,59.9,Fit
167.0,57.8,Fit
151.5,40.6,Fit
150.0,46.2,Fit
183.2,67.4,Fit
184.0,82.5,Fit
163.0,66.7,Obese
160.8,61.4,Fit
181.1,62.0,Fit
152.8,50.6,Fit
155.2,42.2,Fit
172.1,64.0,Fit
160.7,62.0,Fit
164.9,67.8,Fit
163.2,62.4,Fit
168.7,72.7,Obese
180.5,73.7,Fit
166.0,58.8,Fit
172.1,72.1,Fit
142.4,51.9,Obese
164.5,55.3,Fit
155.7,56.4,Fit
151.6,48.2,Fit
155.3,37.0,Fit
161.3,60.8,Fit
175.1,57.1,Fit
150.4,52.4,Fit
165.3,47.9,Fit
159.7,50.3,Fit
161.4,53.8,Fit
176.0,77.8,Obese
170.9,60.0,Fit
179.7,62.5,Fit
163.3,61.6,Fit
157.3,52.7,Fit
162.5,64.4,Fit
167.7,53.8,Fit
166.9,63.0,Fit
153.1,71.3,Obese
166.0,58.7,Fit
167.5,63.2,Fit
192.7,68.4,Fit
185.6,69.0,Fit
155.6,57.0,Fit
161.8,55.0,Fit
148.9,53.7,Fit
158.5,58.7,Fit
168.5,51.9,Fit
178.3,78.0,Fit
157.0,44.3,Fit
157.8,48.7,Fit
141.4,45.8,Fit
163.2,71.1,Obese
153.3,43.7,Fit
159.2,56.9,Fit
155.4,54.3,Fit
164.0,64.4,Fit
145.7,56.2,Obese
148.9,45.5,Fit
188.4,86.2,Fit
150.8,60.7,Obese
152.9,65.7,Obese
185.2,79.5,Fit
197.0,86.6,Fit
152.1,47.1,Fit
160.9,45.3,Fit
168.8,60.4,Fit
184.0,75.4,Fit
154.1,51.4,Fit
162.3,62.7,Fit
173.6,54.6,Fit
169.8,62.0,Fit
160.9,72.9,Obese
163.5,66.8,Fit
149.9,54.3,Fit
162.4,61.1,Fit
162.1,54.9,Fit
167.6,47.7,Fit
158.9,59.2,Fit
170.2,44.1,Fit
176.1,65.7,Fit
166.7,61.1,Fit
168.9,59.2,Fit
165.6,77.7,Obese
165.0,74.5,Obese
157.1,62.5,Obese
168.5,55.0,Fit
163.9,74.5,Obese
188.0,82.7,Fit
182.3,65.6,Fit
169.2,63.3,Fit
156.6,61.6,Obese
152.8,46.5,Fit
178.1,70.9,Fit
167.9,64.5,Fit
170.3,55.0,Fit
145.8,44.6,Fit
175.2,59.3,Fit
170.0,70.5,Fit
152.8,44.1,Fit
159.8,58.5,Fit
167.9,50.9,Fit
165.6,51.2,Fit
161.8,48.1,Fit
163.9,56.8,Fit
162.2,59.3,Fit
166.7,64.0,Fit
181.2,58.0,Fit
136.8,39.8,Fit
162.4,52.0,Fit
166.9,65.6,Fit
168.3,60.1,Fit
160.9,56.3,Fit
145.7,40.7,Fit
168.6,76.3,Obese
184.0,64.2,Fit
148.1,45.1,Fit
174.5,67.9,Fit
161.4,55.3,Fit
164.3,53.3,Fit
153.4,37.3,Fit
161.3,51.7,Fit
179.3,63.1,Fit
171.4,78.1,Obese
184.1,92.6,Obese
178.0,69.3,Fit
169.8,52.2,Fit
184.2,80.5,Fit
169.8,55.6,Fit
174.1,62.3,Fit
161.7,52.5,Fit
165.7,56.4,Fit
157.3,51.6,Fit
175.9,57.6,Fit
152.0,45.2,Fit
173.6,74.5,Fit
162.9,58.1,Fit
177.9,70.6,Fit
173.3,48.2,Fit
185.0,82.9,Fit
173.0,60.4,Fit
147.7,57.0,Obese
164.3,60.6,Fit
152.1,46.4,Fit
159.3,42.4,Fit
181.6,90.0,Obese
172.0,71.5,Fit
157.3,61.3,Fit
153.8,66.6,Obese
165.4,61.9,Fit
151.6,61.4,Obese
157.6,50.8,Fit
168.4,68.3,Fit
177.7,64.4,Fit
171.7,60.8,Fit
139.8,43.8,Fit
168.3,52.2,Fit
165.8,63.1,Fit
169.6,60.8,Fit
182.8,57.6,Fit
142.3,40.9,Fit
158.5,52.5,Fit
171.5,71.5,Fit
147.6,50.2,Fit
181.2,83.8,Obese
169.1,67.0,Fit
174.3,62.4,Fit
158.7,55.0,Fit
174.0,63.8,Fit
176.8,72.6,Fit
167.6,62.2,Fit
167.6,56.8,Fit
168.0,62.1,Fit
155.5,56.9,Fit
163.4,50.7,Fit
163.3,61.2,Fit
169.2,50.4,Fit
176.0,77.0,Fit
153.4,56.0,Fit
163.6,71.9,Obese
181.3,63.4,Fit
156.8,63.2,Obese
156.0,61.0,Obese
167.2,60.1,Fit
174.3,63.8,Fit
165.1,51.3,Fit
179.6,60.2,Fit
174.4,60.9,Fit
174.3,56.8,Fit
171.1,77.2,Obese
190.6,67.9,Fit
162.7,59.5,Fit
143.0,48.4,Fit
182.6,76.3,Fit
160.0,59.9,Fit
166.2,68.3,Fit
179.4,67.2,Fit
147.4,48.5,Fit
151.2,48.0,Fit
147.4,58.2,Obese
156.3,70.5,Obese
169.8,53.9,Fit
170.8,47.9,Fit
168.0,66.7,Fit
149.5,57.7,Obese
139.6,58.5,Obese
165.6,66.2,Fit
159.8,67.4,Obese
170.1,76.9,Obese
172.7,77.4,Obese
166.5,68.1,Fit
173.4,55.9,Fit
167.5,61.7,Fit
170.8,66.6,Fit
157.2,53.6,Fit
163.0,58.2,Fit
167.2,74.0,Obese
174.0,60.6,Fit
160.7,63.2,Fit
170.7,66.7,Fit
162.1,50.9,Fit
163.7,50.3,Fit
174.1,53.1,Fit
143.1,48.9,Fit
150.7,49.5,Fit
148.7,42.0,Fit
139.3,27.7,Fit
157.5,58.1,Fit
173.2,64.6,Fit
161.9,51.9,Fit
167.2,53.8,Fit
177.0,67.0,Fit
179.6,74.7,Fit
164.2,56.7,Fit
179.9,61.7,Fit
166.0,60.2,Fit
155.8,61.8,Obese
158.5,55.6,Fit
148.7,49.2,Fit
155.2,50.4,Fit
161.1,50.0,Fit
173.8,59.1,Fit
183.9,61.1,Fit
149.8,58.8,Obese
169.3,66.8,Fit
153.6,52.5,Fit
170.2,66.1,Fit
163.6,61.6,Fit
144.9,40.3,Fit
175.2,64.9,Fit
158.3,51.4,Fit
159.1,75.8,Obese
153.2,59.8,Obese
157.8,56.1,Fit
169.7,74.3,Obese
162.9,68.3,Obese
168.6,51.5,Fit
169.0,61.0,Fit
179.5,70.8,Fit
161.2,62.1,Fit
148.8,46.9,Fit
176.7,67.9,Fit
161.4,53.6,Fit
177.3,77.5,Fit
169.2,51.4,Fit
163.6,55.4,Fit
168.8,48.0,Fit
186.5,68.3,Fit
187.8,80.2,Fit
165.8,63.1,Fit
166.8,58.7,Fit
176.8,77.8,Fit
155.7,64.2,Obese
168.7,62.0,Fit
164.7,61.7,Fit
168.5,58.8,Fit
155.8,58.4,Fit
147.5,38.3,Fit
142.2,58.9,Obese
152.7,60.4,Obese
160.0,46.7,Fit
161.8,51.3,Fit
186.3,79.7,Fit
177.2,66.3,Fit
154.4,56.8,Fit
168.8,59.8,Fit
160.5,68.9,Obese
161.9,57.7,Fit
167.0,80.7,Obese
171.8,69.8,Fit
161.3,46.4,Fit
176.7,85.4,Obese
152.4,59.9,Obese
165.1,63.0,Fit
193.6,87.6,Fit
167.5,52.2,Fit
180.8,57.5,Fit
166.0,60.3,Fit
171.4,75.7,Obese
164.4,62.6,Fit
163.1,72.2,Obese
156.4,64.4,Obese
169.7,63.5,Fit
155.6,62.8,Obese
172.3,77.5,Obese
176.9,68.2,Fit
169.0,61.1,Fit
161.9,58.8,Fit
170.0,44.3,Fit
161.6,59.7,Fit
175.3,73.4,Fit
144.9,47.3,Fit
161.3,60.0,Fit
143.1,44.7,Fit
148.6,32.6,Fit
180.0,84.6,Obese
174.8,64.3,Fit
157.1,49.3,Fit
148.5,59.4,Obese
132.4,46.4,Obese
159.0,57.8,Fit
191.6,86.9,Fit
169.8,54.2,Fit
158.8,54.9,Fit
170.1,74.0,Obese
147.8,42.7,Fit
161.7,49.6,Fit
166.1,61.3,Fit
164.1,60.0,Fit
173.7,71.6,Fit
168.8,51.7,Fit
172.4,45.0,Fit
157.4,61.9,Fit
174.9,58.6,Fit
182.9,68.7,Fit
154.3,34.9,Fit
155.2,61.2,Obese
179.7,73.8,Fit
162.9,60.9,Fit
180.4,74.1,Fit
160.1,39.9,Fit
181.0,64.2,Fit
166.4,57.3,Fit
167.8,56.0,Fit
182.2,70.9,Fit
161.0,59.0,Fit
154.6,60.7,Obese
160.1,44.5,Fit
170.0,63.5,Fit
147.8,53.7,Fit
172.0,57.7,Fit
159.1,54.1,Fit
177.6,73.1,Fit
138.7,42.4,Fit
156.3,59.2,Fit
146.4,47.9,Fit
155.9,51.0,Fit
167.7,52.5,Fit
163.0,60.4,Fit
162.2,58.7,Fit
163.2,50.7,Fit
167.2,66.2,Fit
153.9,62.3,Obese
172.8,60.4,Fit
172.3,59.5,Fit
169.2,56.9,Fit
171.1,51.0,Fit
168.3,78.3,Obese
187.4,73.7,Fit
164.0,52.3,Fit
161.6,48.5,Fit
156.7,50.9,Fit
153.6,46.4,Fit
151.3,61.9,Obese
155.2,43.0,Fit
164.2,47.0,Fit
168.7,67.0,Fit
165.6,59.4,Fit
156.6,52.2,Fit
174.9,71.8,Fit
173.1,67.0,Fit
163.2,58.3,Fit
157.8,43.5,Fit
171.0,51.0,Fit
167.1,55.8,Fit
149.1,40.2,Fit
164.3,61.5,Fit
167.9,47.6,Fit
155.1,49.3,Fit
167.1,60.0,Fit
149.0,48.5,Fit
179.7,74.2,Fit
178.7,67.7,Fit
162.2,52.6,Fit
169.0,72.8,Obese
138.5,39.6,Fit
152.3,62.4,Obese
161.8,55.0,Fit
153.2,51.5,Fit
172.9,64.6,Fit
187.0,78.8,Fit
152.1,47.5,Fit
155.8,54.2,Fit
167.6,74.0,Obese
182.7,81.8,Fit
151.6,59.0,Obese
167.7,51.2,Fit
185.0,65.9,Fit
146.8,49.2,Fit
150.9,56.3,Fit
160.3,52.4,Fit
159.3,50.2,Fit
173.9,77.7,Obese
167.7,67.3,Fit
145.5,55.0,Obese
170.7,60.6,Fit
158.6,51.2,Fit
179.0,78.1,Fit
158.1,52.9,Fit
158.0,50.0,Fit
171.0,57.0,Fit
173.4,62.1,Fit
169.9,70.5,Fit
146.5,35.1,Fit
170.9,69.3,Fit
153.6,46.3,Fit
167.6,60.1,Fit
149.3,47.9,Fit
169.9,61.7,Fit
156.1,51.3,Fit
150.9,46.5,Fit
172.9,61.2,Fit
167.7,72.4,Obese
158.2,55.3,Fit
181.0,71.0,Fit
160.2,51.3,Fit
165.4,56.9,Fit
168.0,56.9,Fit
158.2,61.2,Fit
170.2,57.7,Fit
159.1,37.7,Fit
160.5,57.1,Fit
180.0,69.0,Fit
153.6,47.2,Fit
138.5,49.5,Obese
182.7,51.6,Fit
193.0,94.6,Obese
160.5,65.1,Obese
143.7,40.4,Fit
161.6,53.8,Fit
161.9,61.7,Fit
162.9,62.6,Fit
152.8,46.3,Fit
171.4,51.7,Fit
170.8,81.1,Obese
148.6,56.2,Obese
172.7,66.9,Fit
187.6,78.8,Fit
166.9,66.2,Fit
161.3,63.2,Fit
163.4,42.1,Fit
171.8,62.1,Fit
146.0,43.2,Fit
166.8,59.9,Fit
160.7,63.0,Fit
185.3,61.2,Fit
163.1,47.7,Fit
183.3,68.5,Fit
152.9,52.6,Fit
171.5,71.3,Fit
168.5,75.5,Obese
155.4,50.9,Fit
167.0,68.0,Fit
178.3,75.7,Fit
161.4,61.7,Fit
146.4,47.0,Fit
164.8,56.6,Fit
155.1,44.4,Fit
161.2,48.1,Fit
164.1,62.0,Fit
146.2,46.6,Fit
147.2,44.4,Fit
170.3,69.1,Fit
159.3,54.2,Fit
136.8,33.9,Fit
173.6,64.2,Fit
168.0,68.7,Fit
157.1,46.1,Fit
150.5,51.5,Fit
174.2,66.3,Fit
168.8,56.6,Fit
191.2,78.1,Fit
169.6,50.7,Fit
169.3,63.9,Fit
163.2,47.7,Fit
174.0,75.2,Fit
171.9,64.3,Fit
178.8,65.7,Fit
159.3,65.1,Obese
160.2,48.2,Fit
159.7,50.1,Fit
173.7,51.7,Fit
181.5,82.9,Obese
160.0,71.3,Obese
160.3,43.2,Fit
168.5,55.9,Fit
162.3,58.5,Fit
175.5,63.6,Fit
140.2,43.0,Fit
155.9,52.5,Fit
156.4,57.1,Fit
139.5,35.1,Fit
154.4,54.0,Fit
154.9,43.9,Fit
162.8,55.0,Fit
177.2,55.2,Fit
162.3,54.7,Fit
153.7,47.4,Fit
164.4,67.0,Fit
176.5,68.1,Fit
154.3,53.3,Fit
155.0,52.7,Fit
171.1,47.4,Fit
162.6,42.2,Fit
172.1,62.6,Fit
164.8,62.0,Fit
172.7,63.8,Fit
153.6,45.0,Fit
164.9,57.9,Fit
162.7,55.6,Fit
151.6,56.8,Fit
147.8,53.8,Fit
172.5,61.1,Fit
161.1,56.7,Fit
153.8,54.2,Fit
163.9,62.5,Fit
177.4,82.5,Obese
139.9,42.8,Fit
148.5,57.9,Obese
154.8,43.5,Fit
181.1,67.0,Fit
168.1,45.1,Fit
173.4,67.4,Fit
152.5,56.3,Fit
152.7,30.8,Fit
169.9,65.0,Fit
165.6,65.2,Fit
171.0,68.7,Fit
162.9,48.8,Fit
168.1,68.3,Fit
166.7,61.2,Fit
173.6,71.0,Fit
173.9,65.5,Fit
147.2,50.7,Fit
140.3,52.2,Obese
176.0,66.5,Fit
178.1,72.0,Fit
153.8,62.0,Obese
144.5,44.9,Fit
166.1,51.7,Fit
175.2,73.0,Fit
184.8,86.6,Obese
170.7,74.4,Obese
160.9,62.7,Fit
155.2,34.2,Fit
165.1,54.9,Fit
161.7,52.9,Fit
153.8,52.4,Fit
187.5,90.9,Obese
184.6,66.4,Fit
177.5,87.2,Obese
154.9,49.7,Fit
174.4,60.8,Fit
172.0,71.9,Fit
169.9,70.9,Fit
178.7,75.5,Fit
172.0,58.9,Fit
173.1,70.0,Fit
172.0,56.8,Fit
168.7,56.3,Fit
145.4,45.7,Fit
165.9,54.0,Fit
158.9,64.0,Obese
150.9,45.5,Fit
183.5,72.3,Fit
184.0,67.5,Fit
180.0,79.5,Fit
167.8,56.6,Fit
179.9,80.3,Fit
165.1,68.5,Obese
167.2,58.0,Fit
153.0,51.7,Fit
169.4,59.3,Fit
165.7,64.7,Fit
150.7,48.4,Fit
164.4,56.1,Fit
164.1,59.6,Fit
184.8,62.5,Fit
174.8,66.6,Fit
165.1,65.2,Fit
167.7,63.0,Fit
165.5,67.9,Fit
162.8,55.3,Fit
153.1,47.9,Fit
163.3,49.8,Fit
156.8,50.8,Fit
151.2,66.1,Obese
170.6,66.3,Fit
169.3,58.4,Fit
145.3,38.4,Fit
163.7,46.1,Fit
176.0,61.5,Fit
176.7,74.7,Fit
176.3,65.0,Fit
165.4,52.5,Fit
155.7,46.6,Fit
153.1,56.7,Fit
168.8,62.0,Fit
169.2,57.9,Fit
179.2,68.1,Fit
177.1,86.6,Obese
163.5,68.6,Obese
151.3,62.1,Obese
161.5,43.4,Fit
167.4,60.4,Fit
162.8,53.1,Fit
158.6,59.7,Fit
167.8,70.4,Obese
159.5,58.5,Fit
158.1,48.0,Fit
168.4,57.1,Fit
160.6,61.7,Fit
167.7,67.6,Fit
168.0,63.2,Fit
152.5,52.2,Fit
159.7,56.5,Fit
180.8,74.1,Fit
152.2,56.7,Fit
141.7,49.2,Fit
144.5,46.1,Fit
165.3,59.7,Fit
165.3,59.4,Fit
163.7,52.7,Fit
178.4,63.6,Fit
135.6,44.8,Fit
169.4,57.4,Fit
182.2,79.5,Fit
152.6,50.8,Fit
160.8,63.5,Fit
156.7,59.1,Fit
155.2,59.7,Fit
161.4,53.5,Fit
180.7,75.1,Fit
185.2,81.4,Fit
161.3,44.8,Fit
186.0,89.7,Obese
165.4,78.3,Obese
184.3,82.3,Fit
164.0,65.6,Fit
166.4,65.7,Fit
169.0,60.3,Fit
200.0,87.1,Fit
174.4,74.6,Fit
157.2,46.6,Fit
175.7,59.4,Fit
161.0,53.9,Fit
159.6,61.3,Fit
175.0,60.4,Fit
165.3,58.3,Fit
168.1,61.3,Fit
165.2,51.9,Fit
168.7,43.1,Fit
169.7,55.1,Fit
143.7,47.5,Fit
172.3,69.2,Fit
154.2,56.3,Fit
149.1,53.8,Fit
164.4,54.4,Fit
165.9,53.8,Fit
157.4,57.5,Fit
174.1,65.0,Fit
150.2,56.9,Obese
160.5,59.7,Fit
158.6,65.6,Obese
164.5,55.8,Fit
168.1,70.7,Obese
153.9,68.4,Obese
173.0,66.2,Fit
165.7,64.4,Fit
144.2,38.3,Fit
143.5,52.4,Obese
164.9,68.8,Obese
162.6,54.2,Fit
163.9,63.8,Fit
164.7,61.9,Fit
167.5,64.8,Fit
175.4,74.2,Fit
152.8,55.5,Fit
152.1,49.8,Fit
153.0,58.1,Fit
168.2,71.1,Obese
178.7,65.8,Fit
160.3,56.5,Fit
137.5,27.4,Fit
146.3,51.7,Fit
155.8,63.2,Obese
158.9,53.5,Fit
160.5,57.7,Fit
165.4,58.4,Fit
161.6,54.4,Fit
176.5,70.4,Fit
157.6,48.3,Fit
155.5,51.3,Fit
170.3,56.5,Fit
148.1,53.0,Fit
169.3,65.0,Fit
166.1,57.3,Fit
163.4,59.0,Fit
182.5,71.5,Fit
158.2,64.2,Obese
187.7,74.0,Fit
162.5,63.2,Fit
151.0,44.5,Fit
165.8,67.0,Fit
153.2,59.9,Obese
156.7,62.7,Obese
169.4,74.9,Obese
171.1,66.8,Fit
158.2,64.9,Obese
175.9,81.0,Obese
177.7,60.5,Fit
180.8,67.1,Fit
170.8,52.2,Fit
180.0,79.8,Fit
144.3,33.7,Fit
161.5,43.1,Fit
155.5,44.4,Fit
166.3,46.9,Fit
158.7,57.6,Fit
163.2,49.9,Fit
185.7,62.3,Fit
163.1,58.2,Fit
169.6,63.4,Fit
162.4,43.1,Fit
165.8,54.8,Fit
165.1,59.3,Fit
169.9,60.7,Fit
177.8,66.9,Fit
183.1,83.2,Fit
168.4,79.6,Obese
171.5,62.2,Fit
152.3,40.5,Fit
164.0,57.3,Fit
175.3,69.2,Fit
174.5,66.6,Fit
167.3,66.5,Fit
174.8,84.9,Obese
170.4,50.2,Fit
178.2,65.8,Fit
168.2,74.6,Obese
161.1,52.9,Fit
168.7,68.9,Fit
132.8,43.8,Fit
169.2,72.9,Obese
124.9,49.6,Obese
146.0,49.6,Fit
170.0,49.6,Fit
170.3,58.2,Fit
152.2,68.5,Obese
157.2,43.0,Fit
180.1,75.3,Fit
159.7,36.0,Fit
189.7,68.3,Fit
165.0,67.0,Fit
169.5,63.5,Fit
182.8,70.5,Fit
166.4,54.4,Fit
154.0,36.2,Fit
163.8,64.6,Fit
164.6,57.3,Fit
150.0,37.3,Fit
162.2,58.1,Fit
156.8,58.8,Fit
175.2,65.9,Fit
165.4,61.1,Fit
161.9,58.0,Fit
163.8,53.4,Fit
167.5,62.1,Fit
171.8,70.8,Fit
154.0,60.5,Obese
153.5,58.2,Fit
177.2,63.6,Fit
160.5,61.7,Fit
149.4,52.8,Fit
169.9,57.8,Fit
170.1,59.9,Fit
148.2,53.7,Fit
167.5,72.8,Obese
173.1,51.4,Fit
169.1,76.0,Obese
172.0,74.4,Obese
149.6,50.8,Fit
168.6,60.6,Fit
161.7,60.6,Fit
159.7,51.0,Fit
174.6,65.6,Fit
181.3,60.5,Fit
184.7,61.1,Fit
179.5,89.5,Obese
163.8,59.5,Fit
168.9,64.4,Fit
173.4,65.9,Fit
166.3,54.2,Fit
166.4,58.5,Fit
174.1,67.4,Fit
164.3,57.8,Fit
157.0,48.2,Fit
160.4,60.5,Fit
172.0,66.6,Fit
165.0,63.1,Fit
168.7,68.3,Fit
172.4,64.0,Fit
160.9,55.6,Fit
173.3,77.9,Obese
169.2,55.4,Fit
151.4,35.5,Fit
180.9,76.4,Fit
159.5,50.9,Fit
146.8,38.8,Fit
153.5,58.9,Obese
153.8,50.9,Fit
165.6,50.2,Fit
162.0,73.2,Obese
161.3,44.3,Fit
171.8,64.3,Fit
168.7,47.5,Fit
168.5,64.6,Fit
169.5,58.1,Fit
171.8,71.5,Fit
141.8,44.1,Fit
161.0,67.8,Obese
141.0,40.3,Fit
165.4,47.3,Fit
164.9,61.8,Fit
176.5,66.5,Fit
178.1,55.2,Fit
167.2,53.1,Fit
159.5,50.1,Fit
170.3,76.3,Obese
159.2,61.4,Fit
165.0,57.1,Fit
175.8,71.8,Fit
158.9,39.2,Fit
173.9,62.0,Fit
172.5,68.6,Fit
154.5,53.8,Fit
175.7,63.6,Fit
172.7,65.3,Fit
166.1,63.4,Fit
156.6,53.9,Fit
155.5,60.1,Fit
159.1,58.2,Fit
171.0,68.4,Fit
154.5,66.2,Obese
169.8,70.1,Fit
151.3,64.3,Obese
162.8,52.9,Fit
166.2,48.0,Fit
191.9,79.9,Fit
149.8,47.6,Fit
181.2,83.9,Obese
166.6,52.1,Fit
169.5,62.6,Fit
166.3,64.1,Fit
169.9,64.3,Fit
163.3,57.3,Fit
181.0,74.9,Fit
160.0,64.9,Obese
177.5,81.6,Obese
157.9,55.1,Fit
164.3,52.9,Fit
153.2,63.9,Obese
170.0,55.0,Fit
180.9,86.3,Obese
164.1,70.0,Obese
162.8,70.2,Obese
152.7,56.8,Fit
162.5,41.2,Fit
147.5,39.5,Fit
155.0,55.3,Fit
167.5,56.3,Fit
179.5,68.4,Fit
195.9,89.3,Fit
158.5,53.9,Fit
180.8,62.2,Fit
167.7,68.9,Fit
163.3,62.8,Fit
169.8,61.4,Fit
165.7,66.1,Fit
166.2,61.5,Fit
160.5,67.3,Obese
149.6,50.5,Fit
148.0,58.8,Obese
172.2,50.2,Fit
162.0,61.4,Fit
158.4,52.0,Fit
165.1,53.1,Fit
173.7,75.7,Obese
167.0,68.5,Fit
157.8,38.7,Fit
178.5,75.8,Fit
182.4,77.9,Fit
170.4,58.1,Fit
175.7,61.2,Fit
178.7,57.5,Fit
177.4,66.6,Fit
171.8,63.5,Fit
171.6,71.1,Fit
170.7,66.3,Fit
152.9,43.0,Fit
172.7,67.5,Fit
150.1,47.5,Fit
156.3,46.2,Fit
179.3,58.0,Fit
174.2,71.8,Fit
181.4,75.9,Fit
162.0,62.2,Fit
152.3,45.2,Fit
162.4,59.4,Fit
166.1,49.7,Fit
165.9,52.6,Fit
177.5,69.6,Fit
161.0,59.1,Fit
168.9,49.7,Fit
154.1,43.8,Fit
170.0,60.6,Fit
165.0,67.6,Fit
156.8,47.6,Fit
162.4,59.2,Fit
163.0,60.4,Fit
162.0,55.8,Fit
184.5,77.0,Fit
163.9,48.4,Fit
162.3,52.7,Fit
141.9,55.8,Obese
155.2,65.0,Obese
162.1,64.6,Fit
157.5,63.3,Obese
180.2,56.8,Fit
163.2,51.0,Fit
179.2,68.1,Fit
165.7,79.7,Obese
165.4,57.7,Fit
164.0,65.1,Fit
165.0,63.0,Fit
183.9,77.3,Fit
139.5,42.6,Fit
143.0,35.4,Fit
159.0,34.0,Fit
165.2,70.3,Obese
172.6,60.6,Fit
170.2,48.8,Fit
160.8,60.4,Fit
176.2,71.7,Fit
176.3,74.5,Fit
167.0,70.3,Obese
175.6,60.5,Fit
168.0,55.1,Fit
158.8,52.9,Fit
172.7,72.2,Fit
166.2,44.0,Fit
165.0,60.9,Fit
181.2,79.7,Fit
138.0,49.0,Obese
149.4,54.8,Fit
151.9,59.3,Obese
161.0,35.1,Fit
162.2,70.8,Obese
148.4,51.1,Fit
154.2,63.0,Obese
